Feature,Mean SHAP Value
OverallQual,0.15357609976880604
GrLivArea,0.09646117174965764
TotalBsmtSF,0.03550386259435035
YearBuilt,0.032242498656797805
BsmtFinSF1,0.030742821540111504
GarageArea,0.030485608695553588
OverallCond,0.029834849691809755
LotArea,0.023741052195047175
YearRemodAdd,0.02346301460104796
1stFlrSF,0.010866883533131911
GarageYrBlt,0.01009495710550038
2ndFlrSF,0.008072646849834995
BsmtUnfSF,0.007824667778436491
OpenPorchSF,0.007327227839190099
LotFrontage,0.005939917965101724
GarageFinish_Unf,0.005643814463776644
BsmtExposure_No,0.005277672679882122
KitchenQual_TA,0.005076584461459554
MasVnrArea,0.0041890128009625825
BsmtExposure_Gd,0.003007407166390066
BedroomAbvGr,0.002231944739058809
KitchenQual_Gd,0.002131596678613699
BsmtFinType1_Rec,0.0011698160626492716
BsmtFinType1_BLQ,0.0008865896697582887
BsmtFinType1_GLQ,0.0007996146043246468
BsmtExposure_Mn,0.000568249129631472
BsmtFinType1_Unf,0.00046319136584748583
BsmtFinType1_LwQ,0.00034787060376315196
GarageFinish_RFn,0.00030314354419343583
KitchenQual_Fa,0.00014321151201924812
